# Experiment IPTS-34347 Run 218386
# Reduction 2.2.0.dev47+d202502071725
# Run title: CuPt_d8-THF_FullQ-218386-1.
# Run start time: 2025-04-20T13:42:43.100443667
# Reduction time: Sun Apr 20 09:45:26 2025
# Q summing: False
# TOF weighted: False
# Bck in Q: False
# Theta offset: 0
# DataRun   NormRun   TwoTheta(deg)  LambdaMin(A)   LambdaMax(A) Qmin(1/A)    Qmax(1/A)    SF_A         SF_B
# 218386    218274    0.899957       2.74977        9.49868      0.0103       0.0358       4.0          0
# 218387    218275    2.4019         2.74977        9.49869      0.0277       0.0957       16.0         0
# 218388    218338    7.00064        2.74975        9.4987       0.0807       0.2790       196.0        0
# Q [1/Angstrom]        R                     dR                    dQ [FWHM]
  0.0104865232866460    1.0118753474992772    0.0334283255280669    0.0002849861112957
  0.0105389559030792    1.0204506239938880    0.0335735900973927    0.0002864110418521
  0.0105916506825946    1.0975559425379837    0.0353709697242431    0.0002878430970614
  0.0106446089360076    1.0739747519927136    0.0339201250741855    0.0002892823125467
  0.0106978319806876    1.0627131258040050    0.0339466896586066    0.0002907287241094
  0.0107513211405911    1.0327254071111169    0.0323061409631311    0.0002921823677300
  0.0108050777462940    1.0495947079241525    0.0318258333055122    0.0002936432795686
  0.0108591031350255    1.0823294396198628    0.0344151687763437    0.0002951114959665
  0.0109133986507006    1.1104581669278202    0.0329397768360531    0.0002965870534463
  0.0109679656439541    1.0996116213130924    0.0331339804857066    0.0002980699887135
  0.0110228054721739    1.0273944450041472    0.0305707198872258    0.0002995603386571
  0.0110779194995348    1.0326494257110990    0.0303107648100636    0.0003010581403504
  0.0111333090970324    1.0578673317840137    0.0299920523408186    0.0003025634310522
  0.0111889756425176    1.0285483133673337    0.0295901429237401    0.0003040762482074
  0.0112449205207302    1.0328523003217167    0.0289623031597833    0.0003055966294484
  0.0113011451233338    1.0686364489648015    0.0293839627129620    0.0003071246125957
  0.0113576508489505    1.1089864992877903    0.0299537994504240    0.0003086602356587
  0.0114144391031953    1.0588200882566752    0.0287089113763706    0.0003102035368370
  0.0114715112987112    1.0479230959086077    0.0280981315548572    0.0003117545545211
  0.0115288688552048    0.9738918645491432    0.0259300138898775    0.0003133133272938
  0.0115865131994808    1.1877616189923230    0.0303394664035523    0.0003148798939302
  0.0116444457654782    1.0186901436389937    0.0261827975248057    0.0003164542933999
  0.0117026679943056    1.0445148511004430    0.0268852154550568    0.0003180365648669
  0.0117611813342771    1.0431726160984007    0.0254303551322935    0.0003196267476912
  0.0118199872409485    1.0660870434377818    0.0265907605045104    0.0003212248814297
  0.0118790871771533    1.0357216296457208    0.0257048172560804    0.0003228310058368
  0.0119384826130390    0.9878703981555316    0.0239526470587832    0.0003244451608660
  0.0119981750261042    1.0369272200366004    0.0245203775271319    0.0003260673866703
  0.0120581659012347    1.0353758544992737    0.0244298725287771    0.0003276977236037
  0.0121184567307409    1.0816502246243671    0.0253231946960618    0.0003293362122217
  0.0121790490143946    1.0668570882788060    0.0247107500859834    0.0003309828932828
  0.0122399442594666    1.0095014503343591    0.0230112379671023    0.0003326378077492
  0.0123011439807639    1.0480598530863428    0.0231407502970137    0.0003343009967880
  0.0123626497006677    1.0465926531272205    0.0228925199417316    0.0003359725017719
  0.0124244629491711    1.0040582706964922    0.0221664501116792    0.0003376523642808
  0.0124865852639169    1.0095783906919191    0.0223102651450505    0.0003393406261022
  0.0125490181902365    1.0603339911764516    0.0227093006779110    0.0003410373292327
  0.0126117632811877    0.9880989363514574    0.0211504271959041    0.0003427425158788
  0.0126748220975936    1.0499614056741708    0.0220101411291404    0.0003444562284582
  0.0127381962080816    1.0447122390155863    0.0216514047627401    0.0003461785096005
  0.0128018871891220    0.9855565947114845    0.0205913282367526    0.0003479094021485
